number_courses	Marks
3	19.202
4	7.734
4	13.811
6	53.018
8	55.299
6	17.822
3	29.889
5	17.264
4	20.348
3	30.862
3	42.036
7	12.132
7	24.318
3	17.672
3	11.397
4	19.466
5	30.548
8	38.49
6	50.986
8	25.133
4	22.073
6	35.939
5	12.209
7	28.043
4	16.517
3	6.623
7	12.647
8	26.532
5	9.333
4	8.837
8	24.172
3	8.1
8	15.038
6	39.965
3	17.171
3	43.978
4	13.119
6	46.453
7	41.358
6	51.142
4	7.336
6	15.725
6	19.771
5	10.429
4	9.742
3	8.924
4	16.703
4	22.701
3	26.882
5	19.106
6	40.602
6	22.184
4	7.892
7	36.653
8	53.158
7	18.238
8	53.359
7	51.583
3	31.236
8	51.343
6	10.522
4	10.844
6	19.59
3	21.379
7	12.591
6	13.562
4	27.569
3	6.185
4	8.92
6	21.4
4	16.606
5	13.416
3	20.398
3	7.014
4	39.952
3	6.217
5	36.746
8	38.278
7	49.544
3	6.349
7	54.321
8	17.705
4	44.099
5	16.106
8	16.461
8	39.957
7	23.149
3	6.053
5	11.253
7	40.024
7	24.394
8	19.564
4	23.916
8	42.426
8	24.451
6	19.128
3	5.609
4	41.444
7	12.027
3	32.357
